category,age,position,market_value,Time Stamp (EST),player_name,Set,Tier,Series,Play,date_of_moment,Team,Circulation Count,Owned,Unique Owners,In Packs,Minted,Held by TS,Collector Score,Low Ask,4h,24h,7d,Listings,Top Shot Debut,Rookie Premiere,Rookie Mint,Rookie Year,Edition State,Play ID,Set ID,Top Shot Link,moments_count,CS1,CS2,CS3,cs_per_dollar,market_cap,GP,MPG,minutes_percentage,usage_rate,turnover_rate,FTA,FT%,2PA,2P%,3PA,3P%,effective_shooting_percentage,true_shooting_percentage,points_per_game,rebounds_per_game,total_rebound_percentage,assists_per_game,assist_percentage,steals_per_game,blocks_per_game,turnovers_per_game,versatility_index,offensive_rating,defensive_rating
DEFENSIVE SPECIALIST,22,Center,23.6,2022-01-16,Precious Achiuwa,Rising Stars,Rare,2,Dunk,2021-02-21 01:30:00,Miami Heat,2021.0,1894.0,0.0,127.0,0.0,0.0,80.0,105.0,0.0,0.0,8.25,234.0,False,False,True,True,VISIBLE,512bbf17-a10b-4521-88e4-a9a2faaf0901,f493db4a-a775-4d6e-be8a-56fae509a92d,https://nbatopshot.com/listings/p2p/f493db4a-a775-4d6e-be8a-56fae509a92d+512bbf17-a10b-4521-88e4-a9a2faaf0901,4.0,0.0,3.0,1.0,0.76,212205.0,31,24.9,51.9,17.2,11.0,51,0.569,215,0.442,39,0.231,0.427,0.445,7.9,7.6,16.5,1.4,7.9,0.61,0.68,1.1,7.0,99.7,102.3
DEFENSIVE SPECIALIST,22,Center,23.6,2022-01-16,Precious Achiuwa,Base Set,Common,2,Dunk,2020-12-24 00:00:00,Miami Heat,4000.0,3801.0,0.0,195.0,4.0,0.0,12.0,41.0,0.0,-2.38,-10.87,296.0,True,True,True,True,VISIBLE,748afe00-ef2d-4635-8276-d9f41795248c,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+748afe00-ef2d-4635-8276-d9f41795248c,4.0,0.0,3.0,1.0,0.29,164000.0,31,24.9,51.9,17.2,11.0,51,0.569,215,0.442,39,0.231,0.427,0.445,7.9,7.6,16.5,1.4,7.9,0.61,0.68,1.1,7.0,99.7,102.3
DEFENSIVE SPECIALIST,22,Center,23.6,2022-01-16,Precious Achiuwa,Base Set,Common,2,Block,2021-04-08 23:30:00,Miami Heat,40000.0,35612.0,0.0,2785.0,1778.0,0.0,12.0,4.0,0.0,-20.0,-20.0,1389.0,False,False,True,True,VISIBLE,49467ba5-c933-4df2-97fa-edd540a57d58,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+49467ba5-c933-4df2-97fa-edd540a57d58,4.0,0.0,3.0,1.0,3.0,160000.0,31,24.9,51.9,17.2,11.0,51,0.569,215,0.442,39,0.231,0.427,0.445,7.9,7.6,16.5,1.4,7.9,0.61,0.68,1.1,7.0,99.7,102.3
DEFENSIVE SPECIALIST,22,Center,23.6,2022-01-16,Precious Achiuwa,Base Set,Common,3,Dunk,2021-10-20 23:30:00,Toronto Raptors,60000.0,41591.0,0.0,5952.0,20865.0,0.0,2.0,2.0,-33.33,-33.33,-33.33,2242.0,,,,,VISIBLE,b5f48643-b2e8-49a6-8d45-8201f3b62743,e7b9646c-9997-46c8-909f-2a2b67389023,https://nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+b5f48643-b2e8-49a6-8d45-8201f3b62743,4.0,0.0,3.0,1.0,1.0,120000.0,31,24.9,51.9,17.2,11.0,51,0.569,215,0.442,39,0.231,0.427,0.445,7.9,7.6,16.5,1.4,7.9,0.61,0.68,1.1,7.0,99.7,102.3
ROTATION PLAYER,28,Center,47.0,2022-01-16,Steven Adams,Base Set,Common,1,Assist,2019-12-07 01:00:00,Oklahoma City Thunder,3346.0,2571.0,0.0,388.0,387.0,0.0,25.0,40.0,0.0,-2.44,-2.44,150.0,True,False,False,False,VISIBLE,50fde806-fe34-4a47-b48e-7c5b3dbcff4e,7b797690-5b53-45a7-b972-bd2d5152654a,https://nbatopshot.com/listings/p2p/7b797690-5b53-45a7-b972-bd2d5152654a+50fde806-fe34-4a47-b48e-7c5b3dbcff4e,8.0,4.0,2.0,2.0,0.62,133840.0,41,25.5,53.2,12.6,20.5,115,0.6,202,0.535,0,0.0,0.535,0.564,7.0,9.3,19.2,3.0,15.1,0.85,0.61,1.59,9.1,121.9,104.6
ROTATION PLAYER,28,Center,47.0,2022-01-16,Steven Adams,Metallic Gold LE,Rare,1,Assist,2019-12-07 01:00:00,Oklahoma City Thunder,150.0,114.0,0.0,0.0,0.0,36.0,150.0,1200.0,0.0,0.0,-4.0,13.0,True,False,False,False,CHALLENGE_REWARD_RELEASED,50fde806-fe34-4a47-b48e-7c5b3dbcff4e,12a8288a-addc-4e5c-8af7-b3ba6e5161d4,https://nbatopshot.com/listings/p2p/12a8288a-addc-4e5c-8af7-b3ba6e5161d4+50fde806-fe34-4a47-b48e-7c5b3dbcff4e,8.0,4.0,2.0,2.0,0.12,180000.0,41,25.5,53.2,12.6,20.5,115,0.6,202,0.535,0,0.0,0.535,0.564,7.0,9.3,19.2,3.0,15.1,0.85,0.61,1.59,9.1,121.9,104.6
ROTATION PLAYER,28,Center,47.0,2022-01-16,Steven Adams,Holo MMXX,Legendary,1,Assist,2019-12-07 01:00:00,Oklahoma City Thunder,50.0,50.0,0.0,0.0,0.0,0.0,2000.0,2199.0,0.0,0.0,-12.04,7.0,True,False,False,False,VISIBLE,50fde806-fe34-4a47-b48e-7c5b3dbcff4e,814c5183-596f-41d7-9135-c6b29faa9c6d,https://nbatopshot.com/listings/p2p/814c5183-596f-41d7-9135-c6b29faa9c6d+50fde806-fe34-4a47-b48e-7c5b3dbcff4e,8.0,4.0,2.0,2.0,0.91,109950.0,41,25.5,53.2,12.6,20.5,115,0.6,202,0.535,0,0.0,0.535,0.564,7.0,9.3,19.2,3.0,15.1,0.85,0.61,1.59,9.1,121.9,104.6
ROTATION PLAYER,28,Center,47.0,2022-01-16,Steven Adams,Run It Back,Rare,1,Dunk,2014-05-04 00:00:00,Oklahoma City Thunder,275.0,261.0,0.0,14.0,0.0,0.0,100.0,386.0,0.0,0.0,0.0,25.0,False,False,False,True,VISIBLE,d4b96413-7101-4a17-b243-c1b18865b149,827f9328-03aa-4cb5-97cd-7b5f2c2386fd,https://nbatopshot.com/listings/p2p/827f9328-03aa-4cb5-97cd-7b5f2c2386fd+d4b96413-7101-4a17-b243-c1b18865b149,8.0,4.0,2.0,2.0,0.26,106150.0,41,25.5,53.2,12.6,20.5,115,0.6,202,0.535,0,0.0,0.535,0.564,7.0,9.3,19.2,3.0,15.1,0.85,0.61,1.59,9.1,121.9,104.6
ROTATION PLAYER,28,Center,47.0,2022-01-16,Steven Adams,Base Set,Common,2,Dunk,2021-01-18 02:00:00,New Orleans Pelicans,35000.0,31758.0,0.0,2070.0,1667.0,0.0,12.0,4.0,0.0,0.0,0.0,1833.0,False,False,False,False,VISIBLE,a9efcc11-df82-437d-90e2-cb9bf1310c7d,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+a9efcc11-df82-437d-90e2-cb9bf1310c7d,8.0,4.0,2.0,2.0,3.0,140000.0,41,25.5,53.2,12.6,20.5,115,0.6,202,0.535,0,0.0,0.535,0.564,7.0,9.3,19.2,3.0,15.1,0.85,0.61,1.59,9.1,121.9,104.6
ROTATION PLAYER,28,Center,47.0,2022-01-16,Steven Adams,Base Set,Common,2,Assist,2021-01-07 01:00:00,New Orleans Pelicans,40000.0,34034.0,0.0,3616.0,3223.0,0.0,12.0,4.0,0.0,0.0,0.0,1476.0,False,False,False,False,VISIBLE,1348a132-50f2-4c46-8523-89522c35d8ef,208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9,https://nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+1348a132-50f2-4c46-8523-89522c35d8ef,8.0,4.0,2.0,2.0,3.0,160000.0,41,25.5,53.2,12.6,20.5,115,0.6,202,0.535,0,0.0,0.535,0.564,7.0,9.3,19.2,3.0,15.1,0.85,0.61,1.59,9.1,121.9,104.6
